"loc" "charge" "quant" "rt_begin" "rt_end" "npeaks" "gapcount"
503.347449468477 1 4804929.20810923 2093.26 2113.46 26 6
505.835308498945 2 58628589.7222433 2067.62 2097.79 34 13
520.315743215785 1 4060316.53190055 2097.79 2118.62 22 11
521.674915393903 3 174362564.755570 1929.97 1971.22 57 6
534.327782776447 2 82024005.7612073 2068.95 2099.1 35 12
535.338255264095 1 242848614.487683 2099.1 2150.15 70 9
546.826819204229 2 43092586.4512042 2112.83 2137.57 37 2
549.367304555991 1 10241899.1048709 1882.23 1925.06 56 8
584.851539064618 2 358822313.98022 2090.02 2155.51 91 10
585.364997721343 2 17016749.5165442 2132.31 2155.51 31 5
585.369110682088 2 13830263.2160323 2175.63 2193.95 25 3
597.378371601297 2 10873798.6326686 1882.96 1906.53 35 1
